timestamp,memory_MB,cpu_percent
2025-04-22T23:53:43.919531,56.67,23.30
2025-04-22T23:53:44.024592,56.67,0.00
2025-04-22T23:53:44.129751,56.67,34.10
2025-04-22T23:53:44.234845,56.67,99.70
2025-04-22T23:53:44.339906,56.67,99.50
2025-04-22T23:53:44.444992,56.67,100.00
2025-04-22T23:53:44.550069,56.67,100.00
2025-04-22T23:53:44.655121,56.67,100.00
2025-04-22T23:53:44.760174,56.67,42.90
2025-04-22T23:53:44.863490,56.67,0.10
2025-04-22T23:53:44.968694,56.67,13.70
2025-04-22T23:53:45.073819,56.67,99.80
2025-04-22T23:53:45.178913,56.67,99.90
2025-04-22T23:53:45.283991,56.67,100.00
2025-04-22T23:53:45.389047,56.67,100.10
2025-04-22T23:53:45.494113,56.67,100.00
2025-04-22T23:53:45.599169,56.67,70.10
2025-04-22T23:53:45.700994,56.67,0.10
2025-04-22T23:53:45.806073,56.67,0.20
2025-04-22T23:53:45.911253,56.67,86.10
2025-04-22T23:53:46.013500,56.70,100.00
2025-04-22T23:53:46.117732,56.72,100.00
2025-04-22T23:53:46.222797,56.72,99.60
2025-04-22T23:53:46.327871,56.73,100.10
2025-04-22T23:53:46.432941,56.73,100.00
2025-04-22T23:53:46.537221,56.73,14.00
2025-04-22T23:53:46.637594,56.73,0.00
2025-04-22T23:53:46.742775,56.73,39.50
2025-04-22T23:53:46.847923,56.75,100.10
2025-04-22T23:53:46.948431,56.73,100.00
2025-04-22T23:53:47.053471,56.73,100.00
2025-04-22T23:53:47.158508,56.73,100.00
2025-04-22T23:53:47.263547,56.73,100.00
2025-04-22T23:53:47.368577,56.73,47.30
2025-04-22T23:53:47.473653,56.73,0.00
2025-04-22T23:53:47.578710,56.73,10.00
2025-04-22T23:53:47.683856,56.77,100.00
2025-04-22T23:53:47.784160,56.77,100.00
2025-04-22T23:53:47.889217,56.77,100.00
2025-04-22T23:53:47.994268,56.77,100.00
2025-04-22T23:53:48.099310,56.77,100.00
2025-04-22T23:53:48.204347,56.77,81.60
2025-04-22T23:53:48.304966,56.77,0.10
2025-04-22T23:53:48.410054,56.77,0.10
2025-04-22T23:53:48.515227,56.77,74.20
2025-04-22T23:53:48.616788,56.77,100.00
2025-04-22T23:53:48.721819,56.77,100.00
2025-04-22T23:53:48.826865,56.77,100.00
2025-04-22T23:53:48.931912,56.77,100.00
2025-04-22T23:53:49.036948,56.77,100.00
2025-04-22T23:53:49.141984,56.77,7.70
2025-04-22T23:53:49.247043,56.77,0.00
2025-04-22T23:53:49.352199,56.77,50.90
2025-04-22T23:53:49.457323,56.78,100.00
2025-04-22T23:53:49.562407,56.78,100.00
2025-04-22T23:53:49.667477,56.78,100.00
2025-04-22T23:53:49.772539,56.78,100.00
2025-04-22T23:53:49.877582,56.78,100.00
2025-04-22T23:53:49.982605,56.78,27.20
2025-04-22T23:53:50.087714,56.78,0.00
2025-04-22T23:53:50.192771,56.78,30.20
2025-04-22T23:53:50.297837,56.78,100.10
2025-04-22T23:53:50.402882,56.78,100.10
2025-04-22T23:53:50.507927,56.78,100.10
2025-04-22T23:53:50.612967,56.78,100.00
2025-04-22T23:53:50.718009,56.78,100.00
2025-04-22T23:53:50.823043,56.78,42.90
2025-04-22T23:53:50.928101,56.78,0.00
2025-04-22T23:53:51.033165,56.78,13.10
2025-04-22T23:53:51.136534,56.78,100.00
2025-04-22T23:53:51.237547,56.78,100.00
2025-04-22T23:53:51.340569,56.80,100.10
2025-04-22T23:53:51.445617,56.80,99.80
2025-04-22T23:53:51.550670,56.80,99.90
2025-04-22T23:53:51.655132,56.80,79.50
2025-04-22T23:53:51.755497,56.80,0.10
2025-04-22T23:53:51.855836,56.80,0.20
2025-04-22T23:53:51.961010,56.80,71.90
2025-04-22T23:53:52.063815,56.80,100.00
2025-04-22T23:53:52.168875,56.80,99.80
2025-04-22T23:53:52.273951,56.80,100.00
2025-04-22T23:53:52.379017,56.78,100.10
2025-04-22T23:53:52.484068,56.78,100.00
2025-04-22T23:53:52.589114,56.78,8.60
2025-04-22T23:53:52.694183,56.78,0.00
2025-04-22T23:53:52.799390,56.78,47.60
2025-04-22T23:53:52.901699,56.78,100.00
2025-04-22T23:53:53.006756,56.78,100.00
2025-04-22T23:53:53.111806,56.78,100.00
2025-04-22T23:53:53.216847,56.78,100.00
2025-04-22T23:53:53.321882,56.78,100.10
2025-04-22T23:53:53.426923,56.78,29.50
2025-04-22T23:53:53.531988,56.78,0.00
2025-04-22T23:53:53.637271,56.78,28.10
2025-04-22T23:53:53.742476,56.78,100.00
2025-04-22T23:53:53.847550,56.25,99.80
2025-04-22T23:53:53.952625,56.78,100.00
2025-04-22T23:53:54.057698,56.78,100.00
2025-04-22T23:53:54.162748,56.78,100.00
2025-04-22T23:53:54.267792,56.78,49.50
2025-04-22T23:53:54.372879,56.78,0.10
2025-04-22T23:53:54.477981,56.78,12.10
2025-04-22T23:53:54.583067,56.78,100.00
2025-04-22T23:53:54.688118,56.78,100.00
2025-04-22T23:53:54.793153,56.78,100.00
2025-04-22T23:53:54.897071,56.78,100.00
2025-04-22T23:53:55.002117,56.78,100.00
2025-04-22T23:53:55.107158,56.78,73.10
